因变量:下一年净资产收益率,资产周转率,利润率,债务资本比率,成长速度(%),市倍率,收入质量,存货率,资产规模,当年净资产收益率
0.493,0.639,0.212,0.4922,5.449,1.108,0.1046,0.171,19.993,0.714
-0.368,0.479,0.345,1.3964,2.423,16.891,0.0938,0.23,21.278,-0.334
-0.381,0.146,0.309,0.4932,0.859,0.73,0.1694,0.042,20.117,0.003
-0.235,0.401,-0.181,1.0878,1.95,27.422,0.153,0.428,21.296,-0.451
-0.336,0.943,0.217,0.4896,2.013,19.688,0.2176,0.224,20.322,0.536
0.155,0.239,0.427,0.3416,1.528,10.32,0.1746,0.007,21.626,0.529
-0.771,0.964,-0.147,1.1842,2.14,9.201,0.1234,0.165,20.094,-0.276
-0.166,0.537,0.127,0.862,0.793,-18.755,0.2538,0.192,20.815,0.285
-0.278,0.029,-0.257,0.0544,2.23,9.767,0.0126,0.226,21.659,0.538
-0.489,0.422,0.147,0.2522,0.018,5.328,0.1228,0.027,20.262,-0.345
-0.294,0.244,0.458,0.5284,1.533,-3.256,0.2116,0.033,21.22,0.68
0.17,0.98,0.064,0.6242,2.44,-1.353,0.1884,0.124,21.793,0.427
0.252,0.85,0.34,0.3458,3.519,-6.775,0.2038,0.339,20.552,0.321
0.167,0.42,0.553,0.263,1.104,2.201,0.3812,0.043,22.303,0.967
-0.917,0.766,-0.034,0.783,2.432,14.097,0.2864,0.025,20.186,-0.525
0.807,0.412,0.302,0.2686,2.735,6.67,0.101,0.275,20.937,0.425
0.414,0.015,0.377,1.279,4.362,11.589,0.036,0.101,22.402,0.589
1.35,0.47,-0.038,1.1814,2.753,5.716,0.3872,0.296,20.822,0.494
0.324,0.969,-0.08,0.0522,5.273,1.4,0.0138,0.284,20.704,1.211
0.229,0.218,0.493,0.0766,0.169,13.134,0.2604,0.219,20.608,0.335
0.887,0.492,0.109,0.3522,0.452,5.208,0.022,0.04,21.579,0.957
-0.117,0.389,0.238,0.1664,3.725,1.643,0.1532,0.147,21.326,0.191
-0.534,0.272,-0.002,0.2394,0.08,-9.235,0.0418,0.067,20.506,0.38
-0.013,1.023,0.208,0.1376,3.381,-4.761,0.314,0.486,20.471,0.327
0.283,0.173,0.36,0.1748,7.785,5.042,0.2592,0.043,21.007,0.568
-0.549,0.048,0.48,0.8948,1.047,20.081,0.107,0.144,19.323,-0.214
-0.288,0.477,0.518,0.04,2.911,2.244,0.1046,0.003,19.926,0.329
0.977,0.849,-0.155,0.2578,0.958,-4.377,0.0538,0.424,20.284,1.41
0.839,0.035,0.113,0.6466,1.211,-17.073,0.07,0.104,20.824,0.845
0.957,0.641,0.175,0.7814,1.369,8.877,0.0864,0.006,21.919,0.696
0.272,1.232,0.35,0.0838,1.107,-3.781,0.3916,0.129,22.057,0.595
0.56,0.616,0.232,0.2946,2.534,-2.362,0.144,0.458,20.894,0.967
-0.271,0.594,0.163,1.3096,4.025,6.863,0.0272,0.18,21.268,0.207
-0.312,0.026,0.046,0.0696,0.767,-0.524,0.309,0.316,20.561,0.375
-0.153,0.25,0.196,1.02,0.375,23.632,0.124,0.027,19.853,0.247
-0.407,0.279,-0.055,1.3978,1.785,14.962,0.5796,0.048,20.257,-0.631
-1.324,0.972,0.06,0.3556,0.986,14.43,0.025,0.216,19.634,-0.555
0.581,0.706,0.017,0.0212,0.942,-7.539,0.2046,0.173,21.977,0.704
0.43,0.585,0.13,0.0026,0.202,4.184,0.0384,0.131,21.009,0.739
1.002,0.651,0.573,0.2792,3.095,5.675,0.5162,0.005,19.922,0.357
0.467,0.218,0.141,0.1252,2.069,1.6,0.1276,0.043,22.278,0.441
0.246,0.433,-0.068,0.4248,0.933,-4.571,0.0936,0.014,23.06,0.567
-0.556,0.5,0.152,0.6612,1.889,4.171,0.1038,0.199,20.404,0.646
-0.038,0.694,0.347,0.2602,0.178,6.167,0.2796,0.168,22.577,0.588
0.586,0.536,0.158,0.98,0.115,15.899,0.0064,0.003,21.488,1.004
0.758,0.126,0.296,0.4878,0.496,10.971,0.1254,0.212,20.173,1.323
0.142,1.345,-0.047,0.4094,0.644,1.513,0.0834,0.358,21.241,0.669
0.16,0.784,0.074,0.7592,0.871,0.669,0.1318,0.17,21.592,0.571
0.931,0.685,0.176,0.1872,2.149,7.695,0.4028,0.048,21.797,1.343
0.572,0.185,0.205,0.1424,1.746,-15.537,0.1056,0.228,22.525,0.485
-0.034,0.039,-0.019,0.0162,3.547,-1.7,0.2716,0.178,19.666,0.577
0.821,0.616,0.342,0.622,4.217,5.517,0.1268,0.246,20.416,0.515
1.371,0.662,0.017,0.216,3.428,-3.091,0.0486,0.146,22.216,1.671
0.561,0.099,0.104,0.7674,0.79,8.829,0.0498,0.145,20.365,1.069
0.991,0.125,0.573,0.368,1.272,5.568,0.3446,0.27,19.911,1.472
-0.863,0.722,-0.009,0.1328,0.435,1.995,0.1274,0.174,20.703,-0.116
0.323,0.745,0.523,0.2358,0.838,1.683,0.015,0.057,22.378,0.375
-0.433,0.768,0.026,1.5852,0.127,25.687,0.111,0.163,20.956,0.598
0.372,0.721,0.308,0.6298,1.292,7.789,0.2124,0.059,21.98,0.706
-0.163,0.783,0.154,0.4644,3.417,13.886,0.0508,0.096,20.566,0.125
-1.039,0.145,-0.033,0.963,0.167,9.77,0.0684,0.27,21.883,-0.328
-0.14,0.32,0.163,0.4584,2.553,8.728,0.2092,0.085,20.466,0.532
0.791,0.522,-0.019,0.2852,0.699,-2.351,0.2854,0.207,21.794,0.837
0.606,1.802,-0.083,1.085,1.62,16.251,0.0078,0.003,20.91,0.285
0.818,1.316,0.109,1.5764,1.925,-14.617,0.002,0.177,18.535,0.597
-0.839,0.998,-0.02,1.3414,0.354,16.331,0.2818,0.223,21.156,-0.103
-0.652,0.237,0.71,0.4118,0.267,8.241,0.1326,0.127,21.047,-0.456
0.692,0.822,0.108,0.456,4.752,2.761,0.0796,0.012,21.168,0.397
0.412,0.78,0.32,0.0896,2.193,-4.643,0.0564,0.005,21.671,0.631
0.007,0.493,0.246,0.9912,1.656,7.5,0.296,0.011,23.343,0.224
-0.404,0.45,0.104,0.4506,2.457,5.12,0.3496,0.294,20.994,-0.051
0.311,0.118,0.19,0.5732,2.56,14.163,0.1588,0.118,20.24,0.904
0.328,0.129,-0.044,1.1022,0.267,5.411,0.3212,0.182,21.918,0.543
0.804,0.307,0.04,0.0804,0.784,4.097,0.0996,0.057,21.577,0.94
0.425,0.461,0.524,0.2934,0.113,0.323,0.123,0.231,21.566,-0.131
-0.188,0.176,0.694,1.178,0.051,21.536,0.0732,0.046,19.892,0.815
0.185,1.134,0.464,0.282,0.424,-15.936,0.1066,0.299,22.838,0.232
-0.302,0.927,0.057,0.5904,2.439,8.086,0.219,0.29,20.649,0.079
-0.253,0.553,0.138,0.7572,1.354,1.605,0.0416,0.047,21.337,-0.162
0.199,0.153,0.296,0.1904,0.203,2.432,0.2136,0.155,21.557,0.165
0.664,0.424,0.454,0.0726,2.771,-3.396,0.065,0.259,21.797,0.759
1.284,0.161,0.089,0.7758,1.308,-22.952,0.2704,0.124,21.544,1.515
0.185,0.915,0.297,0.5794,0.549,5.165,0.0472,0.134,21.207,0.141
0.044,0.556,0.354,0.4886,3.376,-15.87,0.1826,0.085,19.855,0.598
0.34,0.192,0.043,0.007,1.352,11.581,0.2034,0.079,20.416,0.356
-0.12,0.085,0.317,0.8892,2.495,24.541,0.158,0.199,19.757,1.233
0.001,0.026,0.085,1.1534,0.767,9.08,0.2328,0.101,20.403,0.499
-0.681,0.938,0.152,0.731,2.76,10.459,0.0508,0.147,23.685,-0.623
0.099,0.713,0.457,0.2268,2.277,-7.649,0.017,0.135,21.266,0.845
0.554,0.031,0.469,0.2504,1.459,0.728,0.0046,0.051,21.103,0.801
0.136,0.106,0.06,0.2186,1.22,10.409,0.3438,0.182,20.553,0.274
1.124,0.041,0.232,0.2532,1.347,2.624,0.2586,0.086,21.03,0.618
0.14,0.321,0.394,0.6682,3.057,18.099,0.1246,0.065,21.396,0.531
0.426,1,0.197,0.356,5.436,-6.661,0.1626,0.162,21.598,0.546
1.076,1.59,0.334,0.4198,0.827,-4.594,0.1302,0.02,20.888,0.856
0.364,0.574,0.35,0.1918,0.382,10.071,0.0836,0.257,21.574,0.808
0.683,0.197,0.038,0.1158,2.666,-6.622,0.2436,0.4,22.153,1.09
-0.224,0.713,0.519,0.3662,1.114,1.188,0.0694,0.007,20.731,-0.402
0.577,0.484,-0.149,0.361,3.762,-8.311,0.2324,0.033,21.137,0.259
-0.113,0.467,0.419,0.9532,3.524,10.972,0.2276,0.157,22.099,0.155
-0.56,1.272,0.054,0.9784,2.259,-10.411,0.1706,0.108,21.578,-0.097
0.048,0.962,0.014,0.1044,2.578,6.923,0.1552,0.043,21.99,1.197
0.064,0.721,0.247,0.193,2.719,0.677,0.1324,0.142,21.481,0.979
-0.473,0.157,0.387,0.429,0.143,6.816,0.1978,0.218,19.582,-0.133
0.4,0.399,0.132,0.9674,0.299,-18.568,0.2698,0.038,22.62,1.007
0.493,0.056,0.239,0.0136,1.379,7.419,0.0726,0.276,21.334,0.987
-0.127,0.955,0.174,0.4916,0.979,9.424,0.5402,0.03,20.122,0.429
-0.303,0.35,0.129,0.9186,1.114,5.225,0.0626,0.117,21.179,-0.43
0.493,0.707,0.12,0.9914,0.661,19.337,0.0806,0.086,21.184,0.519
0.245,0.765,0.191,0.6682,1.533,17.178,0.0134,0.277,19.765,0.127
-0.192,1.24,0.404,0.3588,1.311,-1.28,0.1304,0.112,21.455,-0.083
-0.369,0.3,0.421,0.2548,1.384,17.871,0.2538,0.088,21.039,0.777
0.236,0.761,0.041,0.5896,1.31,4.682,0.1394,0.081,19.15,1.086
-0.283,0.828,0.219,0.6406,3.181,10.44,0.1286,0.159,18.816,-0.376
-0.149,0.692,0.191,0.801,1.556,-9.607,0.1268,0.02,21.034,0.684
0.014,0.022,0.547,0.072,2.453,0.944,0.1368,0.155,22.27,-0.089
-0.526,0.379,-0.077,1.1344,1.932,27.112,0.1556,0.006,21.08,-0.462
-0.244,0.634,0.65,0.2902,1.601,14.196,0.2226,0.169,20.591,-0.801
0.518,0.35,0.39,0.5156,0.215,-10.115,0.1028,0.048,23.123,1.55
-0.008,0.873,-0.064,0.512,0.154,-2.363,0.4816,0.135,21.349,0.134
-0.552,0.145,0.75,0.2066,0.449,3.932,0.1418,0.103,21.269,0.082
-0.44,0.002,0.214,0.653,3.124,2.004,0.1902,0.084,19.704,-0.573
-0.212,0.516,-0.244,0.7498,3.963,13.903,0.2178,0.023,18.546,-0.359
-1.158,0.269,0.274,1.5302,3.734,16.674,0.108,0.04,21.339,-1.164
0.175,0.504,0.301,0.0116,0.13,-2.776,0.0416,0.06,20.01,0.177
0.138,0.433,0.345,0.386,0.788,3.671,0.1818,0.087,19.964,-0.087
0.96,0.515,0.01,0.0368,0.771,7.207,0.0482,0.195,21.998,0.448
-0.146,0.093,0.027,0.5554,2.679,-4.187,0.305,0.094,22.267,0.945
-0.195,0.282,0.507,0.0706,2.227,10.028,0.1132,0.113,20.806,-0.107
0.369,1.365,0.068,0.468,3.154,-12.52,0.144,0.316,21.28,0.457
0.21,0.859,0.236,0.4742,1.158,2.53,0.1422,0.349,21.463,0.422
0.016,0.349,0.272,0.218,0.002,-0.823,0.0272,0.005,21.844,0.34
-0.496,0.377,-0.139,0.699,3.745,17.669,0.1116,0.1,22.089,0.47
-0.278,0.439,0.105,0.07,1.201,4.749,0.2018,0.081,20.392,-0.332
-0.506,0.572,-0.194,0.0118,0.854,-1.292,0.2224,0.126,21.818,0.156
1.601,0.443,0.272,0.3712,0.54,1.244,0.0802,0.063,23.213,1.477
-0.279,0.388,0.242,0.7678,1.715,8.177,0.064,0.108,21.482,-0.487
0.535,0.054,0.496,0.1292,0.338,6.396,0.2544,0.609,21.788,0.193
0.028,0.324,0.388,0.5164,1.299,-5.022,0.206,0.088,21.591,0.89
0.749,0.097,0.465,0.1846,2.812,1.962,0.0322,0.207,21.828,0.436
0.316,0.861,0.341,0.991,0.164,1.853,0.0218,0.146,21.462,1.137
0.448,0.588,-0.227,0.1588,3.173,1.313,0.1108,0.196,22.311,0.93
0.304,1.063,0.135,0.238,0.629,6.409,0.0716,0.312,21.702,-0.237
0.363,0.765,0.457,0.878,4.03,-14.028,0.1306,0.111,21.735,0.832
0.121,0.592,0.306,0.1572,1.126,2.525,0.1114,0.113,22.644,0.508
0.168,1.221,0.217,0.3866,1.246,-5.453,0.0384,0.023,20.791,0.533
0.103,0.346,0.452,0.4802,2.642,5.563,0.1954,0.018,19.817,0.5
-0.654,0.273,0.07,0.7728,2.55,-14.794,0.0616,0.119,21.087,-0.124
-0.9,0.349,0.373,0.0792,2.945,-3.648,0.2068,0.011,21.451,-0.397
-0.268,0.19,0.329,0.2998,0.217,-0.215,0.1528,0.021,19.693,-0.132
-0.438,0.034,0.141,0.257,0.521,6.263,0.025,0.013,21.949,0.386
-0.173,0.635,0.389,0.534,2.024,12.735,0.2736,0.074,18.997,0.446
0.956,0.882,-0.051,0.6446,1.331,8.052,0.2018,0.194,21.347,0.73
0.591,0.284,0.383,1.2126,1.831,-10.6,0.0058,0.065,21.68,0.594
0.275,0.346,0.323,0.1574,0.62,-1.89,0.0984,0.024,21.42,0.495
0.506,0.798,0.268,0.3158,1.794,1.408,0.1108,0.222,22.667,0.39
0.505,0.815,0.322,0.0776,0,12.841,0.125,0.164,21.512,0.723
0.912,0.364,0.186,0.244,4.402,-3.363,0.011,0.194,22.542,0.867
-0.22,0.466,0.108,0.9544,0.071,3.501,0.085,0.134,21.093,-0.037
1.009,0.683,0.475,0.006,2.427,-10.169,0.2036,0.089,21.209,0.744
-0.007,0.126,-0.034,0.3448,0.964,2.133,0.2794,0.064,21.268,-0.449
-0.426,0.067,0.29,0.603,0.971,6.839,0.2446,0.06,20.584,-0.872
-0.332,0.596,0.207,0.517,4.332,0.254,0.1234,0.259,20.783,0.133
-0.017,0.43,0.144,0.2096,1.746,6.304,0.0808,0.109,20.197,0.543
-0.717,0.839,0.288,0.082,0.641,-2.651,0.2548,0.301,20.14,0.493
-0.162,1.335,0.217,0.525,3.562,0.569,0.1696,0.124,19.719,0.604
0.358,0.324,0.146,0.869,1.528,12.692,0.1996,0.09,23.123,1.073
-0.418,0.887,-0.345,0.5354,4.352,10.363,0.0322,0.256,21.232,0.673
0.023,0.3,0.227,1.0834,0.043,18.375,0.0864,0.162,20.704,0.327
0.255,0.319,0.341,0.2646,0.209,0.94,0.1602,0.191,20.316,0.437
-0.229,0.07,0.17,0.8788,0.227,14.72,0.0056,0.292,21.065,0.29
-0.084,1.084,0.122,0.2314,3.909,-14.791,0.0232,0.171,21.351,0.75
-1.047,0.663,0.215,0.389,1.878,3.107,0.237,0.154,21.141,-0.037
0.023,0.683,0.254,0.8444,2.76,6.324,0.266,0.391,20.65,0.283
0.246,0.815,0.131,0.5772,1.514,3.515,0.021,0.077,20.903,0.084
0.339,0.23,0.325,0.1672,1.303,17.072,0.0188,0.005,19.861,0.668
